Chromosome	TADborder	p53_inactive	p53_active_1h	p53_active_4h	p53_active_7h	p53_active_10h	p53_active_24h	individual_TADstate.p53_inactive	individual_TADstate.p53_active_1h	individual_TADstate.p53_active_4h	individual_TADstate.p53_active_7h	individual_TADstate.p53_active_10h	individual_TADstate.p53_active_24h	Category_tads
1431	chr14	 39900000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1432	chr22	 39906250	 3	 9	 8	 9	 7	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
1433	chr19	 39950000	 8	 9	 8	 5	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1434	chr20	 39975000	10	 0	 0	 0	 8	10	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
1435	chr4	 40000000	 0	 0	 5	 0	 0	10	NoTAD	NoTAD	TAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-TAD-NoTAD-NoTAD-TAD
1436	chr2	 40000000	 9	 7	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1437	chr15	 40050000	10	10	10	10	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1438	chr1	 40050000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1439	chr17	 40100000	 0	 0	 0	10	 0	 0	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-TAD-NoTAD-NoTAD
1440	chrX	 40150000	 0	 0	 0	 0	 0	 9	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1441	chr7	 40225000	10	 7	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1442	chr13	 40250000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1443	chr22	 40250000	 3	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1444	chr1	 40250000	 0	 9	10	10	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
1445	chr3	 40292187	 5	 8	 7	 6	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1446	chr15	 40300000	10	10	10	10	 9	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1447	chr20	 40325000	 9	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1448	chr19	 40337500	 5	 3	 7	 8	10	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
1449	chrX	 40400000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1450	chr22	 40450000	 0	 0	 0	 0	 7	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1451	chr1	 40500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1452	chr21	 40550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1453	chr3	 40550000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1454	chr15	 40568750	10	 6	 9	 7	 7	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1455	chr19	 40610937	 6	 7	 4	 8	 5	 8	TAD	TAD	NoTAD	TAD	TAD	TAD	TAD-TAD-NoTAD-TAD-TAD-TAD
1456	chr9	 40650000	 0	 8	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
1457	chr17	 40700000	10	 8	10	10	 8	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1458	chr12	 40725000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1459	chr4	 40750000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1460	chr15	 40800000	 0	 0	 0	 7	 0	 0	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-TAD-NoTAD-NoTAD
1461	chr9	 40800000	 0	 0	 8	 0	 9	 0	NoTAD	NoTAD	TAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-TAD-NoTAD-TAD-NoTAD
1462	chr22	 40800000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1463	chr5	 40821875	 9	 6	 5	 6	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1464	chr21	 40850000	10	10	10	10	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1465	chr8	 40896875	10	 5	 6	 8	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1466	chr1	 40900000	10	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1467	chr4	 40925000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1468	chr1	 41012500	 0	 6	 6	 9	 0	 9	NoTAD	TAD	TAD	TAD	NoTAD	TAD	NoTAD-TAD-TAD-TAD-NoTAD-TAD
1469	chr6	 41050000	 9	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1470	chrX	 41100000	 6	 0	 0	 0	 0	10	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1471	chr22	 41100000	10	10	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1472	chr21	 41101562	 5	 9	10	 9	 5	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1473	chr17	 41150000	 5	 6	 5	 0	 5	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
1474	chr18	 41200000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1475	chr4	 41250000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1476	chr6	 41300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1477	chr19	 41300000	 5	 4	 6	 4	 8	 0	TAD	NoTAD	TAD	NoTAD	TAD	NoTAD	TAD-NoTAD-TAD-NoTAD-TAD-NoTAD
1478	chr13	 41350000	10	 9	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1479	chr12	 41350000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1480	chrX	 41350000	 6	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1481	chr17	 41400000	10	10	10	10	 9	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1482	chr8	 41400000	 9	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1483	chr22	 41425000	 8	10	10	10	 8	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1484	chr1	 41498437	 8	 6	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1485	chr13	 41600000	10	 9	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1486	chr6	 41675000	 7	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1487	chr15	 41675000	 6	10	 7	 8	 8	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1488	chr5	 41690625	10	10	 7	 6	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1489	chr1	 41737500	 8	 7	 0	 0	10	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
1490	chr8	 41750000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1491	chr19	 41775000	 7	 8	 8	 6	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1492	chr22	 41775000	 4	 4	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1493	chr5	 41800000	 0	 0	 0	 0	 0	 7	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1494	chr17	 41850000	 7	10	10	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1495	chr13	 41887500	10	10	 6	 0	10	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
1496	chr7	 41925000	 9	 7	 8	 7	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1497	chr3	 41946875	 7	 0	 5	 5	10	10	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
1498	chr1	 41981250	 9	 7	 6	 0	10	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
1499	chr8	 42000000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1500	chr20	 42025000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1501	chr19	 42050000	 7	 6	 8	 6	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1502	chr2	 42050000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1503	chr22	 42076562	 8	 6	10	10	 5	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1504	chr17	 42171875	 6	 8	 6	 7	 6	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1505	chr6	 42200000	10	 5	 8	 9	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
1506	chr8	 42250000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1507	chr3	 42250000	 9	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1508	chr15	 42262500	 5	 6	 7	 7	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1509	chr19	 42346875	 4	 8	 8	10	 8	 7	NoTAD	TAD	TAD	TAD	TAD	TAD	NoTAD-TAD-TAD-TAD-TAD-TAD
1510	chr2	 42350000	 0	 0	 0	 0	 0	 7	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1511	chr22	 42400000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1512	chr17	 42450000	 6	10	10	10	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1513	chr12	 42484375	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1514	chr21	 42500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1515	chr4	 42550000	10	 6	10	 8	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1516	chr8	 42550000	10	 6	 0	 0	 5	 6	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
1517	chr19	 42550000	 4	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1518	chr6	 42550000	10	 5	 7	 9	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
1519	chr10	 42550000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1520	chr2	 42600000	 9	 0	 0	 0	 7	 7	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
1521	chr3	 42600000	 9	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1522	chr22	 42650000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1523	chr1	 42650000	10	 6	 7	 0	 8	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
1524	chr8	 42762500	 7	 0	 5	 5	 5	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
1525	chr12	 42800000	 8	 7	 6	 6	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1526	chr17	 42800000	 6	 9	 9	10	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1527	chr4	 42850000	 9	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1528	chr13	 42860937	10	 7	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1529	chr6	 42875000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1530	chr10	 42900000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1531	chr5	 42900000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1532	chr15	 42950000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1533	chr21	 42950000	 6	 9	10	10	 0	 8	TAD	TAD	TAD	TAD	NoTAD	TAD	TAD-TAD-TAD-TAD-NoTAD-TAD
1534	chr3	 42950000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1535	chr7	 42950000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1536	chr22	 42960937	 9	10	 7	10	 6	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1537	chr2	 43000000	 8	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1538	chr19	 43025000	10	10	10	 9	 8	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1539	chr21	 43100000	 0	 0	 0	 0	 3	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1540	chr8	 43100000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1541	chr13	 43100000	 8	 0	 0	 0	 9	 9	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
1542	chr17	 43193750	 4	 9	 7	 6	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
1543	chr18	 43225000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1544	chr1	 43232812	10	 7	 5	 8	 9	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1545	chr21	 43300000	 5	 0	 0	 0	 3	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1546	chr10	 43301562	10	 5	10	 7	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1547	chr7	 43350000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1548	chr11	 43350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1549	chr17	 43400000	 4	 8	 9	 6	 4	 7	NoTAD	TAD	TAD	TAD	NoTAD	TAD	NoTAD-TAD-TAD-TAD-NoTAD-TAD
1550	chr8	 43400000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1551	chr1	 43450000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1552	chr20	 43500000	10	 4	 6	 8	10	 8	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
1553	chr22	 43550000	 8	10	10	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1554	chr5	 43553125	10	 8	 7	 6	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1555	chr6	 43584375	 6	 6	 6	 6	 5	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1556	chr19	 43600000	10	 8	 5	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1557	chr21	 43606250	 9	 4	 4	 0	 4	 5	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1558	chr10	 43609375	10	 9	 7	 6	 8	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1559	chrX	 43650000	10	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1560	chr7	 43650000	 6	 0	 0	 0	 0	 9	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1561	chr17	 43650000	 0	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1562	chr15	 43650000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1563	chr1	 43651562	 6	 8	10	10	 5	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1564	chr18	 43700000	10	 8	 9	 4	10	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
1565	chr8	 43725000	 5	 8	10	10	 9	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1566	chr12	 43750000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1567	chr21	 43775000	 7	 0	 4	 8	 0	 0	TAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-TAD-NoTAD-NoTAD
1568	chr20	 43814062	10	 4	 4	 6	10	 9	TAD	NoTAD	NoTAD	TAD	TAD	TAD	TAD-NoTAD-NoTAD-TAD-TAD-TAD
1569	chr2	 43850000	 8	10	 9	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1570	chr10	 43887500	10	 9	10	 9	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
1571	chr1	 43925000	 6	 0	 0	 0	 0	 9	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1572	chr19	 43929687	 5	 4	 5	 6	 8	10	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
1573	chr7	 43993750	10	 9	 7	 5	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1574	chr17	 44000000	 6	 9	 6	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1575	chrX	 44000000	 0	 0	 0	 0	 0	 6	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1576	chr6	 44050000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1577	chr15	 44100000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1578	chr11	 44100000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1579	chr10	 44112500	10	 9	10	10	 5	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1580	chr21	 44137500	 5	10	 8	 5	 5	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1581	chr20	 44150000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1582	chr2	 44150000	 9	10	10	10	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1583	chr1	 44200000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1584	chr18	 44250000	 4	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1585	chrX	 44250000	 0	 0	 0	 0	 0	 5	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
1586	chr12	 44300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1587	chr17	 44300000	10	 0	 0	 0	 8	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
1588	chr19	 44300000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1589	chr22	 44325000	10	 6	 7	 6	 6	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1590	chr3	 44350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1591	chr6	 44350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1592	chr2	 44350000	 9	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
1593	chr20	 44425000	10	 0	 6	 7	 0	 6	TAD	NoTAD	TAD	TAD	NoTAD	TAD	TAD-NoTAD-TAD-TAD-NoTAD-TAD
1594	chr13	 44450000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1595	chr21	 44450000	 7	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
1596	chr1	 44475000	 9	 9	10	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
1597	chrX	 44487500	 7	 6	 6	 5	 5	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
